Contest	Contest number	Party number	Endorsement number	Endorser number	Supplemental search	Endorser	Description	State	Region	DATE	Cal quart	Pol quart	Cal dichot	Pol dichot	Endorsee	Nominee	Count	Adjusted count	Weight	Adjusted weight	Pond	Weighted pond	Home state endorsement	Home region endorsement	Another candidate's home state endorsement	Another candidate's home region endorsement	Geography	Weighted geography	Own group endorsement	Another candidate's group endorsement	Group	Weighted group	Endorser's ideology	Ideological distance	Weighted ideological distance	Breadth	Breadth dummy	Weighted breadth																			
1980D	1	1	80	1909	0	James Blackwood	Singer	MS	South	9/10/79	3	2	2	1	Carter	1	1	1	0.1	0.1	0	0.0	0	1	0	0	0.5	0.050	1	0	0	0.000																									
1980D	1	1	81	4052	0	Shirley Caeser	Singer	NC	South	9/10/79	3	2	2	1	Kennedy	0	1	1	0.1	0.1	0	0.0	0	0	0	1	1	0.100	0	0	0.5	0.050																									
1980D	1	1	82	5474	0	John Durkin	U.S. Senator	NH	Northeast	9/10/79	3	2	2	1	Kennedy	0	1	1	0.6	0.6	1	0.6	0	1	0	0	0.5	0.300	1	0	0	0.000	0.286	0.214	0.128	0.000	0	0.000																			
1980D	1	1	83	664	0	Charles Duncan	U.S. Secretary of Energy	GA	South	9/15/79	3	2	2	1	Carter	1	1	1	0.4	0.4	0	0.0	1	1	0	0	0	0.000	1	0	0	0.000																									
1980D	1	1	84	5316	0	G. William Miller	U.S. Secretary of the Treasury	DC	Own	9/15/79	3	2	2	1	Carter	1	1	1	0.4	0.4	1	0.4	0	0	0	0	1	0.400	1	0	0	0.000	0.000	0.200	0.080	0.000	0	0.000																			
1980D	1	1	85	1228	0	Draft-Kennedy Organization	Candidate-centered organization	VA	South 	9/20/79	3	2	2	1	Kennedy	0	1	1	0.1	0.1	0	0.0	0	0	0	1	1	0.100	0	0	0.5	0.050																									
1980D	1	1	86	5855	0	Tom Bradley	Mayor of Los Angeles	CA	West	9/21/79	3	2	2	1	Carter	1	1	1	0.4	0.4	1	0.4	0	0	0	0	1	0.400	0	0	0.5	0.200	0.000	0.200	0.080	0.100	1	0.040																			
1980D	1	1	87	5191	0	Coretta Scott King	"Civil rights icon, widow of Martin Luther King, Jr. "	GA	South	9/22/79	3	2	2	1	Carter	1	1	1	0.2	0.2	1	0.2	1	1	0	0	0	0.000	0	0	0.5	0.100	1.000	1.200	0.240	0.000	0	0.000																			
1980D	1	1	88	5058	0	Andrew Young	Former ambassador to the U.N.	GA	South	9/22/79	3	2	2	1	Carter	1	1	1	0.2	0.2	1	0.2	1	1	0	0	0	0.000	1	0	0	0.000	1.000	1.200	0.240	0.000	0	0.000																			
1980D	1	1	89	1288	0	Edmund Muskie	U.S. Senator	ME	Northeast	9/26/79	3	2	2	1	Kennedy	0	1	1	0.6	0.6	0	0.0	0	1	0	0	0.5	0.300	1	0	0	0.000	0.347	0.153	0.092	0.000	0	0.000																			
1980D	1	1	90	5052	0	National Education Association	Labor union		National	9/27/79	3	2	2	1	Carter	1	1	1	0.4	0.4	1	0.4	0	0	0	0	1	0.400	0	0	0.5	0.200	1.000	1.200	0.480	0.600	1	0.240																			
